DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241704156,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,17,Devonshire,1792,2,354,THEFT OF IDENTITY,1822 0930,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,20000    COMMUNITY                    ST,,34.2222,-118.5689
240604822,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1405,06,Hollywood,0636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0400 0329 1822,36,M,B,101,STREET,,,IC,Invest Cont,740,,,,6400    YUCCA                        ST,,34.1039,-118.3297
240204087,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1800,02,Rampart,0285,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,12TH                         ST,UNION                        AV,34.0462,-118.276
241704071,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0545,17,Devonshire,1723,2,946,OTHER MISCELLANEOUS CRIME,0443 1822 1906,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,946,,,,20800    RINALDI                      ST,,34.2701,-118.5863
240904055,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1130,09,Van Nuys,0985,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4200    COSTELLO                     AV,,34.1468,-118.4373
241704066,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1935,17,Devonshire,1713,1,310,BURGLARY,1609 0344 0321 0216,36,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11500    LYSTER                       AV,,34.2812,-118.5416
241704384,01/08/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1002,17,Devonshire,1794,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0352 0344,33,F,F,145,MAIL BOX,,,IC,Invest Cont,440,,,,18200    SCHOENBORN                   ST,,34.2219,-118.5296
240704079,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0430,07,Wilshire,0758,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 0416 0913 0446,36,M,A,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,1200    CRENSHAW                     BL,,34.0519,-118.3306
240204292,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,02,Rampart,0237,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400    MIRAMAR                      ST,,34.0593,-118.261
240704051,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0900,07,Wilshire,0758,1,330,BURGLARY FROM VEHICLE,0342 0358 1609 1307 0344 1822,50,M,H,101,STREET,,,IC,Invest Cont,330,,,,1200 S  PLYMOUTH                     BL,,34.0504,-118.3296
240204054,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2205,02,Rampart,0211,1,210,ROBBERY,0342 1822 1309 0202 0416 0446 0916 0330,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,510,,,MELROSE,NORMANDIE,34.0836,-118.3005
240704062,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1705,07,Wilshire,0763,2,886,DISTURBING THE PEACE,1501,45,M,B,101,STREET,,,IC,Invest Cont,886,,,,1400    ELLSMERE                     AV,,34.05,-118.3604
240704046,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0657,07,Wilshire,0762,2,755,BOMB SCARE,1906 2057 1528 0903 2053,23,X,X,730,SYNAGOGUE/TEMPLE,511,VERBAL THREAT,IC,Invest Cont,755,,,,6000 W  PICO                         BL,,34.0524,-118.3711
241704062,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0620,17,Devonshire,1757,1,310,BURGLARY,0344 0397 1602 0216 0209 1300,39,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9900    BALBOA                       BL,,34.2503,-118.5024
240204219,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1730,02,Rampart,0269,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1501,36,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,700 S  BIXEL                        ST,,34.0509,-118.2642
240604092,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1300,06,Hollywood,0644,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0400 0416,44,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1400 N  GARDNER                      ST,,34.0962,-118.3529
240704144,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1215,07,Wilshire,0722,1,352,PICKPOCKET,1822 0344,45,F,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,352,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240604045,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0900,06,Hollywood,0636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1822 0329,44,F,W,101,STREET,,,IC,Invest Cont,740,,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
240604304,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1500,06,Hollywood,0645,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1822,61,M,H,101,STREET,,,IC,Invest Cont,331,,,,DE LONGPRE,CHEROKEE,34.1006,-118.3417
240704177,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1951,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240704050,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0815,07,Wilshire,0765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0500,0,X,X,726,POLICE FACILITY,,,AO,Adult Other,845,,,,4800    VENICE                       BL,,34.0467,-118.3407
241704322,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1730,17,Devonshire,1747,1,330,BURGLARY FROM VEHICLE,0344 1202 0329,77,F,W,101,STREET,,,IC,Invest Cont,330,,,,PETIT,SAN JOSE,34.2611,-118.498
240704029,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0245,07,Wilshire,0755,1,310,BURGLARY,0329 1607,23,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5200 W  PICO                         BL,,34.051,-118.3538
241704180,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1900,17,Devonshire,1738,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,11000    HASKELL                      AV,,34.2703,-118.476
240204212,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1420,02,Rampart,0204,2,354,THEFT OF IDENTITY,0100 0928,50,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800    LUCILE                       AV,,34.0838,-118.2836
240704045,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0655,07,Wilshire,0723,1,761,BRANDISH WEAPON,2004 0334 1822,49,M,H,203,OTHER BUSINESS,216,SCISSORS,IC,Invest Cont,761,,,,7900    BEVERLY                      BL,,34.0761,-118.3616
240704070,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0800,07,Wilshire,0788,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,64,F,B,101,STREET,,,IC,Invest Cont,740,,,,CRENSHAW                     BL,W  WASHINGTON                   BL,34.0399,-118.3311
240204237,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1200,02,Rampart,0251,2,354,THEFT OF IDENTITY,0100 0930,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600    WILSHIRE                     BL,,34.0605,-118.2814
240204217,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1226,02,Rampart,0251,2,354,THEFT OF IDENTITY,0100 0930,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600    WILSHIRE                     BL,,34.0605,-118.2814
240704063,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2140,07,Wilshire,0782,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1253,29,M,B,801,MTA BUS,113,SIMULATED GUN,AA,Adult Arrest,930,,,,CADILLAC,VENICE,34.0376,-118.3749
241704068,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2200,17,Devonshire,1764,1,310,BURGLARY,1501,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,310,,,,9300    TAMPA                        AV,,34.244,-118.5583
241704054,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1215,17,Devonshire,1791,1,350,"THEFT, PERSON",1202 0352 1402 0380 1300,92,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,350,998,,,8400    LURLINE                      AV,,34.2222,-118.5842
241704298,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2000,17,Devonshire,1716,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0321 1606,34,F,W,101,STREET,,,IC,Invest Cont,420,,,,12000    DRESDEN                      PL,,34.2885,-118.5055
240904314,01/10/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1200,09,Van Nuys,0914,2,900,VIOLATION OF COURT ORDER,2038 1501,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900,,,,14600    GAULT                        ST,,34.1994,-118.451
240704178,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1951,07,Wilshire,0723,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8000    BEVERLY                      BL,,34.0761,-118.3637
240904066,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0630,09,Van Nuys,0963,1,310,BURGLARY,0344 1609 0358 1414,37,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,5100 N  SEPULVEDA                    BL,,34.163,-118.4661
241704069,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1126,17,Devonshire,1776,1,320,"BURGLARY, ATTEMPTED",1607 1300 0216,48,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,9300    RUFFNER                      AV,,34.2401,-118.4982
240904071,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1620,09,Van Nuys,0932,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 1814,29,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6200    LEMONA                       AV,,34.1826,-118.4596
241704064,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0620,17,Devonshire,1757,1,310,BURGLARY,0397 0344 1602 0216 0209 1300,29,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9900    BALBOA                       BL,,34.2503,-118.5024
240704483,01/11/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2056,07,Wilshire,0765,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,24,M,H,108,PARKING LOT,,,IC,Invest Cont,740,,,,4500 W  PICO                         BL,,34.0485,-118.3334
240904166,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0915,09,Van Nuys,0981,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1501,45,F,W,717,HEALTH SPA/GYM,,,IC,Invest Cont,341,,,,15200    VENTURA                      BL,,34.1535,-118.464
240604755,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,06,Hollywood,0663,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344 0329,25,M,W,108,PARKING LOT,,,IC,Invest Cont,331,,,,1100 N  SYCAMORE                     AV,,34.0907,-118.3428
241706394,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0700,17,Devonshire,1782,2,354,THEFT OF IDENTITY,1501,0,X,X,605,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354,,,,8800    CORBIN                       AV,,34.2302,-118.5623
240204444,01/09/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2200,02,Rampart,0261,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0421,34,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,2200 W  8TH                          ST,,34.0554,-118.2789
240604261,01/07/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1208,06,Hollywood,0645,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1300 1307,43,M,W,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,6800    HOLLYWOOD                    BL,,34.1016,-118.3387
240204058,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1830,02,Rampart,0257,1,210,ROBBERY,0342 1822 0344 0444 0337 0370 0449 0334 0305,39,M,H,102,SIDEWALK,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,210,,,,WILSHIRE,WITMER,34.0538,-118.2667
240204199,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0610,02,Rampart,0257,1,330,BURGLARY FROM VEHICLE,1609 1307 0344,49,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,600    LUCAS                        AV,,34.0552,-118.2675
240204288,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2141,02,Rampart,0205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788
240704186,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1652,07,Wilshire,0724,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,0,X,X,415,THE GROVE,,,IC,Invest Cont,343,,,,100    THE GROVE                    DR,,34.0736,-118.3563
241704320,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1600,17,Devonshire,1701,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1606 1267,0,X,X,118,CONSTRUCTION SITE,,,IC,Invest Cont,341,,,,20100    GALWAY                       LN,,34.2904,-118.5735
240604312,01/08/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1000,06,Hollywood,0628,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,2000    ARGYLE                       AV,,34.1071,-118.3252
240904046,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0658,09,Van Nuys,0943,2,888,TRESPASSING,2004 1501,0,X,X,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,AA,Adult Arrest,888,,,,14400    BURBANK                      BL,,34.1721,-118.4471
240604068,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1820,06,Hollywood,0668,1,210,ROBBERY,1202 0913 0400 0416 0446 0429 0561 0344,77,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,5600    VIRGINIA                     AV,,34.0918,-118.3109
241704065,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0620,17,Devonshire,1757,1,310,BURGLARY,0397 0344 0352 1602 1300 0216 0209,50,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9900    BALBOA                       BL,,34.2503,-118.5024
241704554,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0700,17,Devonshire,1782,2,354,THEFT OF IDENTITY,1822,0,X,X,602,BANK,,,IC,Invest Cont,354,,,,8800    CORBIN                       AV,,34.2302,-118.5623
240904059,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1730,09,Van Nuys,0935,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,TYRONE,CALVERT,34.1817,-118.4444
240904050,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1500,09,Van Nuys,0964,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,14400    HUSTON                       ST,,34.1594,-118.4465
241705462,02/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1200,17,Devonshire,1775,2,354,THEFT OF IDENTITY,0929 1817,38,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17600    PRAIRIE                      ST,,34.2395,-118.5178
240204040,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0150,02,Rampart,0275,1,210,ROBBERY,1822 0342 0344 0324,0,X,X,203,OTHER BUSINESS,102,HAND GUN,IC,Invest Cont,210,,,,1800 W  OLYMPIC                      BL,,34.0502,-118.2765
240604095,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1245,06,Hollywood,0645,2,624,BATTERY - SIMPLE ASSAULT,2004 0444 0416 0400,28,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
241704456,01/10/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1430,17,Devonshire,1772,2,755,BOMB SCARE,0404,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,IC,Invest Cont,755,,,,9400    PENFIELD                     AV,,34.2403,-118.5695
240705137,01/27/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,07,Wilshire,0726,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,108,PARKING LOT,,,IC,Invest Cont,668,,,,7100    BEVERLY                      BL,,34.0762,-118.344
240204233,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0542,02,Rampart,0245,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1501,0,X,X,504,OTHER RESIDENCE,,,IC,Invest Cont,745,,,,2500    OCEAN VIEW                   AV,,34.0627,-118.2782
240704065,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1035,07,Wilshire,0745,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,30,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,956,,,,5600    WILSHIRE                     BL,,34.0624,-118.351
240605142,01/15/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1110,06,Hollywood,0647,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,25,M,H,503,HOTEL,,,IC,Invest Cont,341,,,,6200    HOLLYWOOD                    BL,,34.1016,-118.3246
240604096,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1245,06,Hollywood,0645,2,624,BATTERY - SIMPLE ASSAULT,2004 0444 0416 0400,34,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
240704074,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1715,07,Wilshire,0711,1,330,BURGLARY FROM VEHICLE,1309 0344,0,M,W,103,ALLEY,,,IC,Invest Cont,330,,,,8000    BEVERLY                      BL,,34.0782,-118.3695
241704308,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2100,17,Devonshire,1782,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0352,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,8800    CORBIN                       AV,,34.2302,-118.5623
241704115,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1430,17,Devonshire,1795,1,310,BURGLARY,0321 1607,0,X,X,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,310,,,,17900    CHASE                        ST,,34.2246,-118.523
241704212,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1430,17,Devonshire,1723,1,310,BURGLARY,1202 0344,71,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,10400    INDEPENDENCE                 AV,,34.2592,-118.5907
241704810,01/18/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1400,17,Devonshire,1723,2,662,"BUNCO, GRAND THEFT",0112 1822 0344 1916 0701,46,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,10400    DE SOTO                      AV,,34.2593,-118.5886
240604103,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1830,06,Hollywood,0647,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1500 N  EL CENTRO                    AV,,34.098,-118.3237
240704084,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2315,07,Wilshire,0764,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0416 0445 1309 0342 1822 0429,35,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,1500    HAUSER                       BL,,34.0472,-118.3574
240600520,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1245,06,Hollywood,0645,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0444 2004 0416 0400 1402,64,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,998,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
241704061,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1200,17,Devonshire,1774,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 0411 1822 1268,48,M,W,109,PARK/PLAYGROUND,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,9600    ZELZAH                       AV,,34.245,-118.5233
240605236,01/17/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2100,06,Hollywood,0647,1,330,BURGLARY FROM VEHICLE,1300 1822 0344,47,F,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,1500    VINE                         ST,,34.098,-118.3266
241704164,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1240,17,Devonshire,1794,2,886,DISTURBING THE PEACE,0913 0603 1601 0361,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,886,,,,8400    AMIGO                        AV,,34.2229,-118.5378
240904911,01/26/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2340,09,Van Nuys,0904,1,330,BURGLARY FROM VEHICLE,0344 1307,44,M,A,101,STREET,,,IC,Invest Cont,330,,,,14600    SATICOY                      ST,,34.2084,-118.4599
241704150,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0629,17,Devonshire,1738,2,354,THEFT OF IDENTITY,1822 0922,42,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16000    HORACE                       ST,,34.2699,-118.4802
240904097,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1812,09,Van Nuys,0932,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,343,,,,6100 N  SEPULVEDA                    BL,,34.1807,-118.4662
240204085,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1930,02,Rampart,0261,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1501,38,M,H,101,STREET,506,FIRE,IC,Invest Cont,740,,,,8TH                          ST,GRAND VIEW                   ST,34.0558,-118.28
241704420,01/10/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0800,17,Devonshire,1799,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0385,48,M,O,101,STREET,,,IC,Invest Cont,331,,,,8300    GAYNOR                       AV,,34.2217,-118.4819
240204089,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,02,Rampart,0295,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1700 S  UNION                        AV,,34.0423,-118.2804
241704196,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1850,17,Devonshire,1712,1,310,BURGLARY,1609 0321 0329 0216 0206,49,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11700    PRESTON TRAILS               AV,,34.2853,-118.5594
240604070,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0645,06,Hollywood,0643,2,755,BOMB SCARE,0404 2204 1822 0421,0,X,X,729,SPECIALTY SCHOOL/OTHER,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,755,,,,7300    HOLLYWOOD                    BL,,34.1016,-118.3489
240904049,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0800,09,Van Nuys,0915,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1602 0385,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,331,,,,14300    VANOWEN                      ST,,34.1976,-118.4443
240904232,01/07/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0326,09,Van Nuys,0952,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344,40,M,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,5500 N  SEPULVEDA                    BL,,34.1703,-118.4662
240700503,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0410,07,Wilshire,0726,1,310,BURGLARY,0325 0329 1607 1402,23,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,100 N  LA BREA                      AV,,34.0726,-118.3463
240704055,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1140,07,Wilshire,0752,2,624,BATTERY - SIMPLE ASSAULT,0216 0416 0446 1822,27,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1000    LA CIENEGA                   BL,,34.0594,-118.3762
240604472,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0400,06,Hollywood,0649,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,5100    HOLLYWOOD                    BL,,34.1018,-118.3006
