"county_name","year","state","party","candidate","candidatevotes","party_percentage"
"AUTAUGA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",11993,69.6943282194328
"BALDWIN",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",40872,72.3654390934844
"BARBOUR",2000,"ALABAMA","DEMOCRAT","AL GORE",5188,49.9086099086099
"BIBB",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4273,60.174623292494
"BLOUNT",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",12667,70.4779391309186
"BULLOCK",2000,"ALABAMA","DEMOCRAT","AL GORE",3395,69.2292006525285
"BUTLER",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4127,52.8899141355889
"CALHOUN",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",22306,57.3286386183145
"CHAMBERS",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6037,51.0140273787392
"CHEROKEE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4154,53.0998338233414
"CHILTON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",10066,66.6975881261596
"CHOCTAW",2000,"ALABAMA","DEMOCRAT","AL GORE",3707,50.2712232167073
"CLARKE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",5988,55.6919642857143
"CLAY",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",3719,63.2160462349142
"CLEBURNE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",3333,65.4556166535742
"COFFEE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",9938,64.3903071141635
"COLBERT",2000,"ALABAMA","DEMOCRAT","AL GORE",10543,48.9643321567899
"CONECUH",2000,"ALABAMA","DEMOCRAT","AL GORE",2783,50.1351107908485
"COOSA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",2382,52.1567768776002
"COVINGTON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",8961,65.8267832219202
"CRENSHAW",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",2793,58.2481751824818
"CULLMAN",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",19157,64.8839966130398
"DALE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",10593,67.0188535998988
"DALLAS",2000,"ALABAMA","DEMOCRAT","AL GORE",10967,59.3966637781629
"DEKALB",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",12827,63.2339166872073
"ELMORE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",16777,70.4797513023021
"ESCAMBIA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6975,59.819897084048
"ETOWAH",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",21087,53.5910338517841
"FAYETTE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4582,58.6834016393443
"FRANKLIN",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6119,55.1112311987751
"GENEVA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6588,68.9193430275133
"GREENE",2000,"ALABAMA","DEMOCRAT","AL GORE",3504,79.7088262056415
"HALE",2000,"ALABAMA","DEMOCRAT","AL GORE",4652,60.1733281593584
"HENRY",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4054,58.4824004616272
"HOUSTON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",22150,69.0956733318776
"JACKSON",2000,"ALABAMA","DEMOCRAT","AL GORE",9066,50.6310733832235
"JEFFERSON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",138491,50.5879172861197
"LAMAR",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4470,61.663677748655
"LAUDERDALE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",17478,54.3859103214363
"LAWRENCE",2000,"ALABAMA","DEMOCRAT","AL GORE",6296,51.6700861715224
"LEE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",22433,58.6269077984529
"LIMESTONE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",14204,60.0998561394601
"LOWNDES",2000,"ALABAMA","DEMOCRAT","AL GORE",4557,72.9937530033638
"MACON",2000,"ALABAMA","DEMOCRAT","AL GORE",7665,86.7965122862643
"MADISON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",62151,54.8465380610318
"MARENGO",2000,"ALABAMA","DEMOCRAT","AL GORE",4841,50.3850957535387
"MARION",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6910,58.7784960871045
"MARSHALL",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",17084,61.0382650326914
"MOBILE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",78162,55.9318759168485
"MONROE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",5153,57.568986705396
"MONTGOMERY",2000,"ALABAMA","DEMOCRAT","AL GORE",40371,50.257693456827
"MORGAN",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",25774,60.3875260654624
"PERRY",2000,"ALABAMA","DEMOCRAT","AL GORE",4020,69.4660445826853
"PICKENS",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4306,50.4215456674473
"PIKE",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6058,57.4544764795144
"RANDOLPH",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4666,58.921581007703
"RUSSELL",2000,"ALABAMA","DEMOCRAT","AL GORE",8396,56.8257191201354
"ST. CLAIR",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",17117,71.0543794105438
"SHELBY",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",47651,76.6981071336595
"SUMTER",2000,"ALABAMA","DEMOCRAT","AL GORE",4415,72.5197109067017
"TALLADEGA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",13807,54.249341872618
"TALLAPOOSA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",9805,60.3273241863041
"TUSCALOOSA",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",34003,56.5641946967429
"WALKER",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",13486,52.5954525954526
"WASHINGTON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",4117,54.1995787256451
"WILCOX",2000,"ALABAMA","DEMOCRAT","AL GORE",3444,67.186890362856
"WINSTON",2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",6413,68.8237819274522
"APACHE",2000,"ARIZONA","DEMOCRAT","AL GORE",13025,66.9459292763158
"COCHISE",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",18180,54.6914954423754
"COCONINO",2000,"ARIZONA","DEMOCRAT","AL GORE",20280,49.6049702810459
"GILA",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",9158,51.6350924672982
"GRAHAM",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",6007,62.1585264900662
"GREENLEE",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",1619,54.6959459459459
"LA PAZ",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",2543,56.7254070934642
"MARICOPA",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",479967,53.2291818001351
"MOHAVE",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",24386,55.2456899481208
"NAVAJO",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",12386,49.2543842207818
"PIMA",2000,"ARIZONA","DEMOCRAT","AL GORE",147688,51.3447364761507
"PINAL",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",20122,48.7333494792928
"SANTA CRUZ",2000,"ARIZONA","DEMOCRAT","AL GORE",5233,58.8440346339818
"YAVAPAI",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",40144,58.8380137187079
"YUMA",2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",15708,54.8233980175904
"ARKANSAS",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3353,52.6208411801632
"ASHLEY",2000,"ARKANSAS","DEMOCRAT","AL GORE",4253,51.4206262846089
"BAXTER",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",9538,57.0864256643524
"BENTON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",34838,64.9405361070723
"BOONE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",8569,62.8456178951228
"BRADLEY",2000,"ARKANSAS","DEMOCRAT","AL GORE",2122,53.3299824076401
"CALHOUN",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",1128,51.6247139588101
"CARROLL",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",5556,57.9353493222106
"CHICOT",2000,"ARKANSAS","DEMOCRAT","AL GORE",2820,63.3423180592992
"CLARK",2000,"ARKANSAS","DEMOCRAT","AL GORE",4661,54.034314862045
"CLAY",2000,"ARKANSAS","DEMOCRAT","AL GORE",3527,59.7796610169491
"CLEBURNE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",5730,56.1379445478593
"CLEVELAND",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",1678,52.7507073247406
"COLUMBIA",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",5018,53.9164070054797
"CONWAY",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3545,49.0047000276472
"CRAIGHEAD",2000,"ARKANSAS","DEMOCRAT","AL GORE",12376,49.1950550542592
"CRAWFORD",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",10804,61.2992907801418
"CRITTENDEN",2000,"ARKANSAS","DEMOCRAT","AL GORE",7224,54.5866706966903
"CROSS",2000,"ARKANSAS","DEMOCRAT","AL GORE",3096,49.8149637972647
"DALLAS",2000,"ARKANSAS","DEMOCRAT","AL GORE",1710,51.4285714285714
"DESHA",2000,"ARKANSAS","DEMOCRAT","AL GORE",2776,61.7575083426029
"DREW",2000,"ARKANSAS","DEMOCRAT","AL GORE",3060,51.6717325227964
"FAULKNER",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",16055,54.9527656078861
"FRANKLIN",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3277,53.371335504886
"FULTON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2036,49.5618305744888
"GARLAND",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",19098,53.1459579796855
"GRANT",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3285,54.6316314651588
"GREENE",2000,"ARKANSAS","DEMOCRAT","AL GORE",6319,50.6167894905479
"HEMPSTEAD",2000,"ARKANSAS","DEMOCRAT","AL GORE",3937,54.0128961448758
"HOT SPRING",2000,"ARKANSAS","DEMOCRAT","AL GORE",5527,50.3323923139969
"HOWARD",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2326,52.164162368244
"INDEPENDENCE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",6145,53.0015525271692
"IZARD",2000,"ARKANSAS","DEMOCRAT","AL GORE",2587,51.4109697933227
"JACKSON",2000,"ARKANSAS","DEMOCRAT","AL GORE",3651,60.1284584980237
"JEFFERSON",2000,"ARKANSAS","DEMOCRAT","AL GORE",17716,65.1299584574097
"JOHNSON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3657,51.0682865521575
"LAFAYETTE",2000,"ARKANSAS","DEMOCRAT","AL GORE",1806,53.3845699083653
"LAWRENCE",2000,"ARKANSAS","DEMOCRAT","AL GORE",3255,53.8907284768212
"LEE",2000,"ARKANSAS","DEMOCRAT","AL GORE",2727,66.1732589177384
"LINCOLN",2000,"ARKANSAS","DEMOCRAT","AL GORE",1957,55.1889452904681
"LITTLE RIVER",2000,"ARKANSAS","DEMOCRAT","AL GORE",2883,54.7786433593008
"LOGAN",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",4487,55.4224308300395
"LONOKE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",10606,59.109401995207
"MADISON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3387,60.181236673774
"MARION",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3402,56.5586034912718
"MILLER",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",7276,52.9356129501637
"MISSISSIPPI",2000,"ARKANSAS","DEMOCRAT","AL GORE",7107,56.4675035754012
"MONROE",2000,"ARKANSAS","DEMOCRAT","AL GORE",1910,58.0018220467659
"MONTGOMERY",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2128,56.913613265579
"NEVADA",2000,"ARKANSAS","DEMOCRAT","AL GORE",1867,49.9464954521134
"NEWTON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2529,64.4003055767762
"OUACHITA",2000,"ARKANSAS","DEMOCRAT","AL GORE",5464,52.5637325637326
"PERRY",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2114,52.7576740703768
"PHILLIPS",2000,"ARKANSAS","DEMOCRAT","AL GORE",6018,64.6193492966821
"PIKE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2275,57.2903550742886
"POINSETT",2000,"ARKANSAS","DEMOCRAT","AL GORE",4102,56.6966136834831
"POLK",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",4600,63.9510635339914
"POPE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",11244,61.0357181630659
"PRAIRIE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",1862,53.0938123752495
"PULASKI",2000,"ARKANSAS","DEMOCRAT","AL GORE",68320,53.7313902368051
"RANDOLPH",2000,"ARKANSAS","DEMOCRAT","AL GORE",3019,51.3697464692871
"ST. FRANCIS",2000,"ARKANSAS","DEMOCRAT","AL GORE",4986,58.6864406779661
"SALINE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",18617,57.4758420548918
"SCOTT",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2399,60.2612408942477
"SEARCY",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2610,64.3173977328733
"SEBASTIAN",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",23483,58.4750616300207
"SEVIER",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2111,49.1730724435127
"SHARP",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3698,51.8944709514454
"STONE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",2623,53.9711934156379
"UNION",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",8647,55.3975270677173
"VAN BUREN",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3485,49.8997709049255
"WASHINGTON",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",28231,54.8611515964166
"WHITE",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",13170,59.4582392776524
"WOODRUFF",2000,"ARKANSAS","DEMOCRAT","AL GORE",1699,64.0890230101848
"YELL",2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",3223,49.7453310696095
"ALAMEDA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",342889,69.3635502977732
"ALPINE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",281,47.9522184300341
"AMADOR",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",8766,56.6864976720124
"BUTTE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",45584,54.4475101826304
"CALAVERAS",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",10599,56.1506675143039
"COLUSA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",3629,64.9194991055456
"CONTRA COSTA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",224338,58.807585234273
"DEL NORTE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",4526,54.5695683626718
"EL DORADO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",42045,58.2857380503493
"FRESNO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",117342,53.1355989766115
"GLENN",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",5795,66.5250832281024
"HUMBOLDT",2000,"CALIFORNIA","DEMOCRAT","AL GORE",24851,44.3989852068892
"IMPERIAL",2000,"CALIFORNIA","DEMOCRAT","AL GORE",15489,53.5266268099665
"INYO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",4713,60.3071017274472
"KERN",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",110663,60.7011211795423
"KINGS",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",16377,57.7977766013764
"LAKE",2000,"CALIFORNIA","DEMOCRAT","AL GORE",10717,51.2309383813758
"LASSEN",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",7080,66.8807859436992
"LOS ANGELES",2000,"CALIFORNIA","DEMOCRAT","AL GORE",1710505,63.4659466583357
"MADERA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",20283,60.7366372211409
"MARIN",2000,"CALIFORNIA","DEMOCRAT","AL GORE",79135,64.2564248304981
"MARIPOSA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",4727,58.5459499628437
"MENDOCINO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",16634,48.3405986631793
"MERCED",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",26102,51.7711928279583
"MODOC",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",2969,72.291210129048
"MONO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",2296,52.5280256234271
"MONTEREY",2000,"CALIFORNIA","DEMOCRAT","AL GORE",67618,57.5305868940051
"NAPA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",28097,54.3210115226974
"NEVADA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",25998,54.756839866046
"ORANGE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",541299,55.752004573053
"PLACER",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",69835,59.2831857655837
"PLUMAS",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",6343,60.9845207191616
"RIVERSIDE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",231955,51.4167850738262
"SACRAMENTO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",212792,49.3087707102306
"SAN BENITO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",9131,54.2510843087161
"SAN BERNARDINO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",221757,48.7492663109786
"SAN DIEGO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",475736,49.6264476327775
"SAN FRANCISCO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",241578,75.5436448124683
"SAN JOAQUIN",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",81773,48.8958915085596
"SAN LUIS OBISPO",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",56859,52.2188343772386
"SAN MATEO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",166757,64.2859070389631
"SANTA BARBARA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",73411,47.3698813994606
"SANTA CLARA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",332490,60.6590784286181
"SANTA CRUZ",2000,"CALIFORNIA","DEMOCRAT","AL GORE",66618,61.4840793724042
"SHASTA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",43278,65.0366674681414
"SIERRA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",1172,63.4542501353546
"SISKIYOU",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",12198,61.5470003531964
"SOLANO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",75116,57.0205336470946
"SONOMA",2000,"CALIFORNIA","DEMOCRAT","AL GORE",117295,59.5387957727176
"STANISLAUS",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",67188,52.3813607552995
"SUTTER",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",17350,65.3139587411534
"TEHAMA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",13270,63.6328761868227
"TRINITY",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",3340,57.6160082801449
"TULARE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",54070,60.1995145739161
"TUOLUMNE",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",13172,55.5148143465251
"VENTURA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",136173,48.17009324636
"YOLO",2000,"CALIFORNIA","DEMOCRAT","AL GORE",33747,54.9303340061202
"YUBA",2000,"CALIFORNIA","REPUBLICAN","GEORGE W. BUSH",9838,61.0032864140882
"ADAMS",2000,"COLORADO","DEMOCRAT","AL GORE",54132,50.1910024848867
"ALAMOSA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",2857,50.4859515815515
"ARAPAHOE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",97768,51.4725547798802
"ARCHULETA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",2988,62.7994955863808
"BACA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1663,73.0026338893766
"BENT",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1096,55.8329088130413
"BOULDER",2000,"COLORADO","DEMOCRAT","AL GORE",69983,50.1217538280836
"CHAFFEE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",4300,56.5045992115637
"CHEYENNE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",957,78.960396039604
"CLEAR CREEK",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",2247,45.6336311941511
"CONEJOS",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1772,48.2702260964315
"COSTILLA",2000,"COLORADO","DEMOCRAT","AL GORE",1054,63.9563106796116
"CROWLEY",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",855,59.1695501730104
"CUSTER",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1451,68.7351965892942
"DELTA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",8372,65.9940091439382
"DENVER",2000,"COLORADO","DEMOCRAT","AL GORE",122693,61.8577543396169
"DOLORES",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",741,65.3439153439153
"DOUGLAS",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",56007,64.9544795592925
"EAGLE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",7165,47.1754016328681
"ELBERT",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",6151,68.6112660345789
"EL PASO",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",128294,63.9051191241152
"FREMONT",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",9914,61.7463876432486
"GARFIELD",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",9103,53.2214686623012
"GILPIN",2000,"COLORADO","DEMOCRAT","AL GORE",1099,44.5841784989858
"GRAND",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3570,56.1939241303321
"GUNNISON",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3128,43.2283029297955
"HINSDALE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",316,55.8303886925795
"HUERFANO",2000,"COLORADO","DEMOCRAT","AL GORE",1495,47.1014492753623
"JACKSON",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",682,73.7297297297297
"JEFFERSON",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",120138,51.0159623934673
"KIOWA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",728,75.2066115702479
"KIT CARSON",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",2542,73.5106998264893
"LAKE",2000,"COLORADO","DEMOCRAT","AL GORE",1296,49.3150684931507
"LA PLATA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",9993,48.7701317715959
"LARIMER",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",62429,52.6662561056885
"LAS ANIMAS",2000,"COLORADO","DEMOCRAT","AL GORE",3243,53.216278306531
"LINCOLN",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1630,74.1246020918599
"LOGAN",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",5531,68.3176877470356
"MESA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",32396,63.4543816351314
"MINERAL",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",294,60.4938271604938
"MOFFAT",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3840,71.9505340078696
"MONTEZUMA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",6158,65.6223358908781
"MONTROSE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",9266,65.1846640872318
"MORGAN",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",5722,63.5919093131807
"OTERO",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",4082,55.8260393873085
"OURAY",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1279,57.2772055530676
"PARK",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3677,55.1687921980495
"PHILLIPS",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1573,70.8558558558559
"PITKIN",2000,"COLORADO","DEMOCRAT","AL GORE",4137,53.0384615384615
"PROWERS",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3026,66.8877099911583
"PUEBLO",2000,"COLORADO","DEMOCRAT","AL GORE",28888,53.5498461424387
"RIO BLANCO",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",2185,76.5323992994746
"RIO GRANDE",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3111,61.3004926108374
"ROUTT",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",4472,46.3996679809089
"SAGUACHE",2000,"COLORADO","DEMOCRAT","AL GORE",1145,45.2748121787268
"SAN JUAN",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",210,48.1651376146789
"SAN MIGUEL",2000,"COLORADO","DEMOCRAT","AL GORE",1598,49.0937019969278
"SEDGWICK",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",877,67.3062164236377
"SUMMIT",2000,"COLORADO","DEMOCRAT","AL GORE",5304,47.9219371160101
"TELLER",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",6477,65.7763785924647
"WASHINGTON",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1878,76.8098159509202
"WELD",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",37409,57.9616058009637
"YUMA",2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",3156,72.418540614961
"FAIRFIELD",2000,"CONNECTICUT","DEMOCRAT","AL GORE",193769,52.329126709138
"HARTFORD",2000,"CONNECTICUT","DEMOCRAT","AL GORE",221167,60.1723274820708
"LITCHFIELD",2000,"CONNECTICUT","DEMOCRAT","AL GORE",41806,47.8669078751517
"MIDDLESEX",2000,"CONNECTICUT","DEMOCRAT","AL GORE",43319,55.9438482300828
"NEW HAVEN",2000,"CONNECTICUT","DEMOCRAT","AL GORE",197928,58.0265553402385
"NEW LONDON",2000,"CONNECTICUT","DEMOCRAT","AL GORE",60449,55.383107185722
